nom_du_festival;envergure_territoriale;region_principale_de_deroulement;departement_principal_de_deroulement;commune_principale_de_deroulement;code_postal_de_la_commune_principale_de_deroulement;code_insee_commune;code_insee_epci_collage_en_valeur;libelle_epci_collage_en_valeur;numero_de_voie;type_de_voie_rue_avenue_boulevard_etc;nom_de_la_voie;adresse_postale;complement_d_adresse_facultatif;site_internet_du_festival;adresse_e_mail;decennie_de_creation_du_festival;annee_de_creation_du_festival;discipline_dominante;sous_categorie_spectacle_vivant;sous_categorie_musique;sous_categorie_musique_cnm;sous_categorie_cinema_et_audiovisuel;sous_categorie_arts_visuels_et_arts_numeriques;sous_categorie_livre_et_litterature;periode_principale_de_deroulement_du_festival;identifiant_agence_a;identifiant;identifiant_cnm;;;;;;;;;;;;;;;
Rencontres philosophiques d'Uuriage;Intercommunale;Auvergne-Rhône-Alpes;Isère;Saint-Martin-d'Uriage;38410;38422;200018166;CC Le Grésivaudan;;;;;La richadière;http://www.rencontres-philosophiques-uriage.fr/;;De 2000 à 2009;2009;Livre, littérature;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_38422_6037;;;;;;;;;;;;;;;;
Nancy Jazz Pulsations;;Grand Est;Meurthe-et-Moselle;Nancy;54000;54395;245400676;Métropole du Grand Nancy;;;;;;www.nancyjazzpulsations.com;contact@nancyjazzpulsations.com;Avant 1980;1973;Musique;;Musiques du monde, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock, Jazz, blues;03- Jazz, blues et musiques improvisées;;;;Saison (21 juin - 5 septembre);;FEST_54395_4268;103;;;;;;;;;;;;;;;
Terre de Zic;;Nouvelle-Aquitaine;Creuse;Saint-Martin-Sainte-Catherine;23430;23217;200067189;CC Creuse Sud Ouest;;;;;;http://terredezic.fr/wp/;contact@terredezic.fr;2010 et après;2012;Musique;;Musiques actuelles;;;;;Saison (21 juin - 5 septembre);LA686;FEST_23217_6042;;;;;;;;;;;;;;;;
Voix du Monde;;Grand Est;Meurthe-et-Moselle;Nancy;54000;54395;245400676;Métropole du Grand Nancy;;;;;;https://www.chantchoral.org/;festival-choral@orange.fr;De 1980 à 1989;1980;Musique;;Chant choral;;;;;Après-saison (6 septembre - 31 décembre);;FEST_54395_4274;;;;;;;;;;;;;;;;
Graffo Transfo Festival;;Pays de la Loire;Loire-Atlantique;Saint-Nicolas-de-Redon;44460;44185;243500741;CA Redon Agglomération;;;;;;;;2010 et après;2014;Arts visuels, arts numériques;;;;;;;Saison (21 juin - 5 septembre);;FEST_44185_6069;;;;;;;;;;;;;;;;
Jazz à l'Hospitalet;;Occitanie;Aude;Narbonne;11100;11262;241100593;CA Le Grand Narbonne;;Route;De Narbonne Plage;Route De Narbonne Plage;;http://www.chateau-hospitalet.com/fr/vos-evenements-au-chateau-l-hospitalet/festival-de-jazz/;;De 2000 à 2009;2003;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_11262_4335;;;;;;;;;;;;;;;;
Festival des Kampagn'arts;;Centre-Val de Loire;Indre-et-Loire;Saint-Paterne-Racan;37370;37231;200073237;CC de Gâtine et Choisilles - Pays de Racan;;;;;Aire de Loisirs de Saint Paterne Racan;www.kampagnarts.fr;assobougetonbled@gmail.com;De 2000 à 2009;2007;Musique;;Chanson ou variété française, Hip-hop, rap, slam, Musiques du monde, Musiques électroniques, techno, Pop, rock;;;;;Saison (21 juin - 5 septembre);;FEST_37231_6086;;;;;;;;;;;;;;;;
Le piano du lac;;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Laragne-Montéglin;5300;5070;200068765;CC du Sisteronais-Buëch;;;;;;http://www.pianodulac.fr/;voel.martin@gmail.com;2010 et après;2014;Musique;;Musique savante;;;;;Saison (21 juin - 5 septembre);;FEST_05070_2994;;;;;;;;;;;;;;;;
Ostara;;Auvergne-Rhône-Alpes;Haute-Savoie;Saint-Pierre-en-Faucigny;74800;74250;247400724;CC du Pays Rochois;;;;;Espace armand bouvard saint pierre;http://agenda-festivals.com/2017-festival-ostara-29450.html;;2010 et après;;Musique;;Musiques amplifiées ou électroniques;;;;;Avant-saison (1er janvier - 20 juin);;FEST_74250_6125;;;;;;;;;;;;;;;;
Le Porte voix;Départementale;Occitanie;Aude;Narbonne;11100;11262;241100593;CA Le Grand Narbonne;74;Avenue;Maitre Hubert Mouly;74 Avenue Maitre Hubert Mouly;Arena;www.labelid.org;labelid.com@gmail.com;De 2000 à 2009;2004;Musique;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_11262_4337;;;;;;;;;;;;;;;;
Les Mouillotins;;Pays de la Loire;Mayenne;Saint-Poix;52350;53250;200048551;CC du Pays de Craon;;;;;;http://www.mouillotins.fr;mouillotins@gmail.com;De 1990 à 1999;1997;Musique;;Musiques actuelles;;;;;Saison (21 juin - 5 septembre);;FEST_53250_6128;;;;;;;;;;;;;;;;
Les in:entendu·e·s;Intercommunale;Centre-Val de Loire;Indre-et-Loire;Neuvy-le-Roi;37370;37170;200073237;CC de Gâtine et Choisilles - Pays de Racan;;Rue;des Près;Rue des Près;;https://lesinentendus.fr/;contact@lesinentendus.fr;2010 et après;2020;Musique;;Musique contemporaine;;;;;Saison (21 juin - 5 septembre);;FEST_37170_4365;;;;;;;;;;;;;;;;
terralha, L'Accordéon plein pot!;;Occitanie;Gard;Saint-Quentin-la-Poterie;30700;30295;200034379;CC Pays d'Uzès;15;Rue;du  Docteur Blanchard;15 Rue du  Docteur Blanchard;;https://capitale-ceramique.com/fr/festival-laccordeon-plein-pot/;contact@officeculturel.com;De 1990 à 1999;;Pluridisciplinaire;Musiques du monde;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_30295_6140;;;;;;;;;;;;;;;;
L'estival;;Auvergne-Rhône-Alpes;Ardèche;Le Cheylard;7160;7064;200041465;CC Val Eyrieux;21;Avenue;de Saunier;21 Avenue de Saunier;;www.lestival-ardeche.fr;c.roze-garcia@valeyrieux.fr;De 1990 à 1999;1991;Spectacle vivant;Arts de la rue;;;;;;Saison (21 juin - 5 septembre);;FEST_07064_3062;;;;;;;;;;;;;;;;
Thélokalisé;;Bretagne;Côtes-d'Armor;Saint-Thélo;22460;22330;200067460;CC Loudéac Communauté - Bretagne Centre;;;Site Tadashi Kawamata;Site Tadashi Kawamata;;;contact@thelokalize.fr;2010 et après;;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_22330_5627;;;;;;;;;;;;;;;;
Festival des pinces à linge;Intercommunale;Bourgogne-Franche-Comté;Nièvre;Nevers;58000;58194;245804406;CA de Nevers;;;;;;;;2010 et après;2017;Musique;;musique classique;;;;;Après-saison (6 septembre - 31 décembre);;FEST_58194_4370;;;;;;;;;;;;;;;;
Déclarations d'humour;;Provence-Alpes-Côte d'Azur;Var;Saint-Tropez;83990;83119;200036077;CC du Golfe de Saint-Tropez;15;Place;Des lices;15 Place Des lices;Théâtre de la renaissance;www.declarationsdhumour.com;lelezard2.0@gmail.com;2010 et après;2015;Spectacle vivant;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_83119_6176;;;;;;;;;;;;;;;;
Rustine;;Pays de la Loire;Mayenne;Niafles;53400;53165;200048551;CC du Pays de Craon;;;;;;;vanillegoudron@gmail.com, contact@association-octopus.net,;2010 et après;2014;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_53165_4379;;;;;;;;;;;;;;;;
Le fil d'ariane;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Salon-De-Provence;13300;13103;200054807;Métropole d'Aix-Marseille-Provence;;;;;;optimisterre.fr;optimisterre@gmail.com;2010 et après;2015;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_13103_6208;;;;;;;;;;;;;;;;
Festival international de tango argentin de Nîmes;Départementale;Occitanie;Gard;Nîmes;30000;30189;243000643;CA de Nîmes Métropole;47;Rue;de L'occitanie;47 Rue de L'occitanie;;www.milongadelangel.fr;Milonga@wanadoo.fr;De 1990 à 1999;1996;Spectacle vivant;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_30189_4426;;;;;;;;;;;;;;;;
Sanary en musique;;Provence-Alpes-Côte d'Azur;Var;Sanary-sur-Mer;83110;83123;248300394;CA Sud Sainte-Baume;;;;;Église saint-nazaire;http://collectiffractales.fr;fr.gneri@gmail.com;2010 et après;2015;Musique;;Musique classique, musique contemporaine;;;;;Saison (21 juin - 5 septembre);;FEST_83123_6223;;;;;;;;;;;;;;;;
Festival Théâtres;;Nouvelle-Aquitaine;Gironde;Noaillan;33730;33307;200043974;CC du Sud Gironde;;;;;;http://www.lescompagnonscomediens.com/;compagnonscomediens@netcourrier.com;2010 et après;2011;Spectacle vivant;Théâtre;;;;;;Saison (21 juin - 5 septembre);LA291;FEST_33307_4452;;;;;;;;;;;;;;;;
Sandinotes;;Centre-Val de Loire;Loiret;Sandillon;45640;45300;244500427;CC des Loges;;;;;;www.sandillon.fr;;2010 et après;2014;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_45300_6226;;;;;;;;;;;;;;;;
Les Jeudi du Port de Nort-sur-Erdre;;Pays de la Loire;Loire-Atlantique;Nort-sur-Erdre;44390;44110;244400503;CC d'Erdre et Gesvres;;;;;;http://www.nort-sur-erdre.fr/culture-loisirs/les-incontournables-2318.html;tourisme.animation@nort-sur-erdre.fr;2010 et après;2017;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_44110_4475;;;;;;;;;;;;;;;;
Mai Musical;;Nouvelle-Aquitaine;Charente-Maritime;Saujon;17600;17421;241700640;CA Royan Atlantique;;;;;;http://maimusical.wordpress.com;maimusical17@gmail.com;Avant 1980;1979;Musique;;Musiques classiques et savantes;07- Musiques actuelles sans distinction;;;;Avant-saison (1er janvier - 20 juin);LA388;FEST_17421_6256;4732;;;;;;;;;;;;;;;
Festival Cirkano;;Nouvelle-Aquitaine;Creuse;Noth;23300;23143;200067510;CC Monts et Vallées Ouest Creuse;1;Lieu-dit;La fôt;1 Lieu-dit La fôt;;https://cirkano23.wixsite.com/samediscirkano;enavantmarche23@gmail.com;2010 et après;2014;Spectacle vivant;Cirque;;;;;;Après-saison (6 septembre - 31 décembre);LA425;FEST_23143_4476;;;;;;;;;;;;;;;;
En Mai… Chante ce kil te plait;;Grand Est;Bas-Rhin;Sélestat;67600;67462;246700967;CC de Sélestat;;;;;;https://www.tanzmatten.fr/;vincent.banchet@univ-reims.fr;De 2000 à 2009;2005;Musique;;Musiques classiques et savantes;01- Chanson;;;;Avant-saison (1er janvier - 20 juin);;FEST_67462_6314;710;;;;;;;;;;;;;;;
Music en ciel;;Auvergne-Rhône-Alpes;Métropole de Lyon;Saint-Priest;69800;69290;200046977;Métropole de Lyon;;;;;Parking colette à Saint priest;https://www.musicenciel.fr/;;2010 et après;2015;Musique;;Musiques actuelles;07- Musiques actuelles sans distinction;;;;Saison (21 juin - 5 septembre);;FEST_69290_6132;2203;;;;;;;;;;;;;;;
Rendez-vous de la photographie documentaire ImageSIngulières;Intercommunale;Occitanie;Hérault;Sète;34200;34301;200066355;CA Sète Agglopôle Méditerranée;15-17;Rue;Lacan;15-17 Rue Lacan;Centre photographique documentaire - ImageSingulières;https://festival.imagesingulieres.com/;info@imagesingulieres.com;De 2000 à 2009;2009;Arts visuels, arts numériques;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_34301_6354;;;;;;;;;;;;;;;;
Zic'à Nouic;;Nouvelle-Aquitaine;Haute-Vienne;Nouic;87330;87108;200071942;CC Haut Limousin en Marche;;;;;;http://www.facebook.com/zicanouic.nouic/;zicanouicfestival@gmail.com;2010 et après;2015;Musique;;Musiques actuelles;;;;;Saison (21 juin - 5 septembre);LA230;FEST_87108_4480;;;;;;;;;;;;;;;;
Les flâneries musicales;;Provence-Alpes-Côte d'Azur;Vaucluse;Sorgues;84700;84129;248400293;CC des Sorgues du Comtat;;;;;;www.sorgues.fr;contact.mediatheque@sorgues.fr;2010 et après;2011;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_84129_6399;;;;;;;;;;;;;;;;
Printemps du livre;Intercommunale;Auvergne-Rhône-Alpes;Savoie;Novalaise;73470;73191;247300668;CC du Lac d'Aiguebelette (CCLA);;;;;Bassin chambérien;https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1756;;De 2000 à 2009;;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_73191_4482;;;;;;;;;;;;;;;;
Quinzaine littéraire;;Provence-Alpes-Côte d'Azur;Vaucluse;Sorgues;84700;84129;248400293;CC des Sorgues du Comtat;;;;;;mediatheque.sorgues.fr;contact.mediatheque@sorgues.fr;2010 et après;;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_84129_6400;;;;;;;;;;;;;;;;
Les rencontres cinématographiques de salon-de-provence;Régionale;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Salon-De-Provence;13300;13103;200054807;Métropole d'Aix-Marseille-Provence;;Place;Gambetta;Place Gambetta;Cinémas salonais;Rencontres-cinesalon.org;rencontrescinesalon@gmail.com;De 1980 à 1989;1989;Cinéma, audiovisuel;;;;Fiction long métrage;;;Avant-saison (1er janvier - 20 juin);;FEST_13103_6210;;;;;;;;;;;;;;;;
Opéra des Landes;;Nouvelle-Aquitaine;Landes;Soustons;40140;40310;244000865;CC Maremne Adour Côte Sud;;;;;;http://www.opera-des-landes.com/;operadeslandes@orange.fr;De 2000 à 2009;2001;Spectacle vivant;Spectacle vivant pluridisciplinaire;;;;;;Saison (21 juin - 5 septembre);LA136;FEST_40310_6411;;;;;;;;;;;;;;;;
Quartiers d'été;;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Oloron-Sainte-Marie;64400;64422;200067262;CC du Haut-Béarn;;;;;;http://www.oloron-ste-marie.fr;maire@oloron-ste-marie.fr;De 2000 à 2009;2002;Spectacle vivant;Pluridisciplinaire culture;;;;;;Saison (21 juin - 5 septembre);LA254;FEST_64422_4519;;;;;;;;;;;;;;;;
Festival Soyaux Fou d'humour !;;Nouvelle-Aquitaine;Charente;Soyaux;16800;16374;200071827;CA du Grand Angoulême;;;;;;http://fr-fr.facebook.com/soyauxfoudhumour/;soyauxfou@sfr.fr;De 2000 à 2009;2006;Spectacle vivant;Théâtre;;;;;;Après-saison (6 septembre - 31 décembre);LA70;FEST_16374_6416;;;;;;;;;;;;;;;;
Ça jazze aux Portes briardes;Intercommunale;Île-de-France;Seine-et-Marne;Ozoir-la-Ferrière;77330;77350;200023125;CC Les Portes Briardes entre Villes et Forêts;;;;;;;;;;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_77350_1768;;;;;;;;;;;;;;;;
Couleurs conte;;Grand Est;Bas-Rhin;Strasbourg;67000;67482;246700488;Eurométropole de Strabourg;;;;;;www.couleurs-conte.fr;cesttoutunart@free.fr;De 2000 à 2009;2007;Spectacle vivant;Conte;;;;;;Saison (21 juin - 5 septembre);;FEST_67482_6429;;;;;;;;;;;;;;;;
BUS - Biennale Urbaine de Spectacles;;Île-de-France;Seine-Saint-Denis;Pantin;93500;93055;200057875;Est ensemble (T8);;;;;;https://sortir.pantin.fr/tout-lagenda?tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=488&no_cache=1;billetterie@ville-pantin.fr;2010 et après;2012;Spectacle vivant;Arts de la rue;;;;;;Saison (21 juin - 5 septembre);;FEST_93055_4593;;;;;;;;;;;;;;;;
Barakacirq;;Occitanie;Hautes-Pyrénées;Tarbes;65000;65440;200069300;CA Tarbes-Lourdes-Pyrénées;10;Boulevard;Pierre Renaudet;10 Boulevard Pierre Renaudet;;https://www.festivalbarakacirq.fr/;cirque@passing65.fr;De 2000 à 2009;;Spectacle vivant;Arts du cirque;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_65440_6511;;;;;;;;;;;;;;;;
a ppr oc he;;Île-de-France;Paris;Paris;75014;75056;200054781;Métropole du Grand Paris;;;;;;http://approche.paris/fr;;2010 et après;2016;Arts visuels, arts numériques;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_75114_4609;;;;;;;;;;;;;;;;
FAT festival;;Auvergne-Rhône-Alpes;Drôme;Taulignan;26770;26348;200040681;CC Enclave des Papes-Pays de Grignan;160;Chemin;de Fachet;160 Chemin de Fachet;;http://www.compagnielehomardbleu.com;compagnielehomardbleu@gmail.com;2010 et après;2016;Spectacle vivant;Théâtre;;;;;;Saison (21 juin - 5 septembre);;FEST_26348_6524;;;;;;;;;;;;;;;;
Les estivales de Saône;Départementale;Bourgogne-Franche-Comté;Haute-Saône;Scey-sur-Saône-et-Saint-Albin;70360;70482;247000367;CC des Combes;;Zone artisanale;;Zone artisanale;L’Ecu;www.echosystem70.fr;contact@echosystem70.fr;De 1990 à 1999;1997;Musique;;Chanson ou variété française, Musiques du monde, Pop, rock;07- Musiques actuelles sans distinction;;;;Saison (21 juin - 5 septembre);;FEST_70482_6292;166;;;;;;;;;;;;;;;
Dans les jardins de William Christie;Internationale;Pays de la Loire;Vendée;Thiré;85210;85290;200073260;CC Sud Vendée Littoral;;Rue;du Bâtiment;Rue du Bâtiment;;www.vendee.fr;mbatier@arts-florissants.com;2010 et après;2012;Musique;;Musique baroque;;;;;Saison (21 juin - 5 septembre);;FEST_85290_6553;;;;;;;;;;;;;;;;
Les Enfants d'abord;;Île-de-France;Paris;Paris;75010, 75018, 75019, 75020;75056;200054781;Métropole du Grand Paris;;;;;;En cours;lesenfantsdabord100@gmail.com;2010 et après;2014;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75119_4764;;;;;;;;;;;;;;;;
Semaine Lire Aux Éclats - Prix Bouilles de Lecteurs;;Nouvelle-Aquitaine;Deux-Sèvres;Thouars;79100;79329;247900798;CC du Thouarsais;;;;;;https://www.facebook.com/bouillesdelecteurs/;bouillesdelecteurs@thouars-communaute.fr;2010 et après;2014;Livre, littérature;;;;;;;Avant-saison (1er janvier - 20 juin);ALCA28;FEST_79329_6573;;;;;;;;;;;;;;;;
Paris Polar;;Île-de-France;Paris;Paris;75013;75056;200054781;Métropole du Grand Paris;;;;;;;;;;Livre, littérature;;;;;;Polar;Après-saison (6 septembre - 31 décembre);;FEST_751113_4832;;;;;;;;;;;;;;;;
Natur'Images;;Grand Est;Vosges;Tignécourt;88320;88473;200068773;CC des Vosges côté Sud Ouest;;;;;;https://www.festival-naturimages.com/;naturimages2013@gmail.com;De 2000 à 2009;2006;Arts visuels, arts numériques;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_88473_6578;;;;;;;;;;;;;;;;
Révélations - Biennale Internationale des Métiers d'Art et Création;;Île-de-France;Paris;Paris;75008;75056;200054781;Métropole du Grand Paris;;;;;;https://www.revelations-grandpalais.com/;;2010 et après;2013;Arts visuels, arts numériques;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75108_4852;;;;;;;;;;;;;;;;
Les Hivernales;;Bretagne;Ille-et-Vilaine;Tinténiac;35190;35337;243500733;CC Bretagne Romantique;;;7 avenue Félicité de Lamenais;7 avenue Félicité de Lamenais;;;hivernales.tinteniac@gmail.com;2010 et après;;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_35337_6583;;;;;;;;;;;;;;;;
Sorbonne Music Days;;Île-de-France;Paris;Paris;75005;75056;200054781;Métropole du Grand Paris;;;;;;http://sorbonnemusicdays.fr/;;;;Musique;;Musiques actuelles;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75105_4870;;;;;;;;;;;;;;;;
Fraîcheur;;Île-de-France;Seine-et-Marne;Torcy;77200;77468;200057958;Paris Vallée de la Marne;;;;;;https://www.facebook.com/Festival-fra%C3%AEcheur-336617193098723/;festival.fraicheur@gmail.com;2010 et après;2012;Musique;;Chanson ou variété française, Musiques du monde, Hip-hop, rap, slam;;;;;Saison (21 juin - 5 septembre);;FEST_77468_6586;;;;;;;;;;;;;;;;
Les Cabardièses;;Occitanie;Aude;Pennautier;11610;11279;200035715;CA Carcassonne Agglo;;;;;Différents lieux :  Chateau de pennautier Théatre na loba;http://www.leguidedesfestivals.com/index.php5?page=festival&festi=17650;;De 2000 à 2009;2000;Musique;;classique;;;;;Saison (21 juin - 5 septembre);;FEST_11279_4942;;;;;;;;;;;;;;;;
À Propos d'elle(s);;Occitanie;Haute-Garonne;Toulouse;31400;31555;243100518;Toulouse Métropole;95;Grande-Rue;Saint Michel;95 Grande-Rue Saint Michel;;https://www.cinemalecratere.com/festival-a-propos-delles-la-folie-almayer;contact@cinefol31.org;De 1990 à 1999;1996;Cinéma, audiovisuel;;;;Court métrage, Documentaire, Fiction long métrage;;;Après-saison (6 septembre - 31 décembre);;FEST_31555_6622;;;;;;;;;;;;;;;;
Détours de chant;Intercommunale;Occitanie;Haute-Garonne;Toulouse;31000;31555;243100518;Toulouse Métropole;12;Rue;jean rancy;12 Rue  jean rancy;;https://www.detoursdechant.com/;coordination@detoursdechant.com;De 2000 à 2009;2002;Musique;;;01- Chanson;;;;Avant-saison (1er janvier - 20 juin);;FEST_31555_6632;81;;;;;;;;;;;;;;;
Festival Ice Impro Comedie Experience;;Occitanie;Haute-Garonne;Toulouse;31000;31555;243100518;Toulouse Métropole;16;Rue;Saint-Germier;16 Rue Saint-Germier;La Comédie De Toulouse;https://www.facebook.com/improcomedieexperience/;;2010 et après;2018;Spectacle vivant;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_31555_6654;;;;;;;;;;;;;;;;
La Félibrée;;Nouvelle-Aquitaine;Dordogne;Périgueux;24000;24322;200040392;CA Le Grand Périgueux;;;;;;/;;Avant 1980;1920;Pluridisciplinaire;;;;;;;Saison (21 juin - 5 septembre);LA218;FEST_24322_4954;;;;;;;;;;;;;;;;
In extremis;Régionale;Occitanie;Haute-Garonne;Toulouse;31000;31555;243100518;Toulouse Métropole;1;Avenue;du chateau d'eau;1 Avenue du chateau d'eau;théâtre Garonne  Scène européenne;https://www.theatregaronne.com/;contact@theatregaronne.com;2010 et après;;Spectacle vivant;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_31555_6676;;;;;;;;;;;;;;;;
Festival de musique sacrée de Perpignan;Régionale;Occitanie;Pyrénées-Orientales;Perpignan;66000;66136;200027183;CU Perpignan Méditerranée Métropole;16;Rue;Emile Zola;16 Rue Emile Zola;Direction De La Culture Ville De Perpignan;https://www.mairie-perpignan.fr/culture-patrimoine/culture/festivals/festival-de-musique-sacree;festivalmusiquesacree@mairie-perpignan.com;De 1980 à 1989;1987;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_66136_4972;;;;;;;;;;;;;;;;
Made in Asia;Régionale;Occitanie;Haute-Garonne;Toulouse;31000;31555;243100518;Toulouse Métropole;50;Rue;D'aubuisson;50 Rue D'aubuisson;;www.madeinasia.fr;contact@madeinasia.fr;De 2000 à 2009;2008;Pluridisciplinaire;culture asiatique;;;Cinéma;;;Avant-saison (1er janvier - 20 juin);;FEST_31555_6691;;;;;;;;;;;;;;;;
Festival international du Film d'histoire de Pessac;;Nouvelle-Aquitaine;Gironde;Pessac;33600;33318;243300316;Bordeaux Métropole;;;;;;www.cinema-histoire-pessac.com;contact@cinema-histoire-pessac.com;De 1990 à 1999;1990;Cinéma, audiovisuel;;;;;;;Après-saison (6 septembre - 31 décembre);ALCA175;FEST_33318_4997;;;;;;;;;;;;;;;;
20 minutes de bonheur en plus;;Bretagne;Côtes-d'Armor;Trégueux;22950;22360;200069409;CA Saint-Brieuc Armor Agglomération;;;Bleu Puriel, 23 rue Marcel Rault;Bleu Puriel, 23 rue Marcel Rault;;;bleupluriel@ville-tregueux.fr;2010 et après;;Spectacle vivant;Arts de la rue;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_22360_6774;;;;;;;;;;;;;;;;
Musicalies en sologne;Intercommunale;Centre-Val de Loire;Loir-et-Cher;Pierrefitte-sur-Sauldre;41300;41176;244100806;CC de la Sologne des Rivières;;;;;;https://www.ucps.fr/musicalies-en-sologne;;De 1980 à 1989;1989;Musique;;Musiques du monde;;;;;Avant-saison (1er janvier - 20 juin);;FEST_41176_5025;;;;;;;;;;;;;;;;
Les Automnales de Valence-sur-Baïse;;Occitanie;Gers;Valence-sur-Baïse;32310;32459;243200417;CC de la Tenarèze;15;Avenue;Alexandre Baurens;15 Avenue Alexandre Baurens;au village;https://fncta-midipy.fr/automnales-de-valence-sur-baise/;jwrobutti@orange.fr;2010 et après;2016;Spectacle vivant;Théâtre;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_32459_6886;;;;;;;;;;;;;;;;
Celtivales;Interrégionale;Bourgogne-Franche-Comté;Doubs;Pierrefontaine-les-Varans;25510;25453;200072056;CC Porte du Jura;;Rue;Pergaud;Rue Pergaud;;www.celtivales.com;contact@celtivales.com;De 1990 à 1999;1997;Musique;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_25453_5026;;;;;;;;;;;;;;;;
Un poing c'est court;Intercommunale;Auvergne-Rhône-Alpes;Métropole de Lyon;Vaulx-en-Velin;69120;69256;200046977;Métropole de Lyon;12;Rue;Pierre Cot;12 Rue Pierre Cot;Cinéma Les Amphis;https://www.unpoingcestcourt.com;info@vaulxfilmcourt.com;De 2000 à 2009;2001;Cinéma, audiovisuel;;;;Court métrage;;;Avant-saison (1er janvier - 20 juin);;FEST_69256_6947;;;;;;;;;;;;;;;;
Les Fiéffés Musiciens;;Normandie;Manche;Pierreville;50340;50401;200067205;CA du Cotentin;23;ROUTE;des 4 Cures;23 ROUTE des 4 Cures;;http://www.lesfieffesmusiciens.com/;reservations@lesfieffesmusiciens.com;2010 et après;2015;Musique;;Musique du monde;;;;;Saison (21 juin - 5 septembre);;FEST_50401_5030;;;;;;;;;;;;;;;;
BD Miam;Intercommunale;Auvergne-Rhône-Alpes;Rhône;Vaux-en-Beaujolais;69460;69257;200040590;CA Villefranche Beaujolais Saône;;;;;Domaine des Terres Vivantes à Blacé;http://bdmiam.fr/;;2010 et après;2014;Livre, littérature;;;;;;;Saison (21 juin - 5 septembre);;FEST_69257_6949;;;;;;;;;;;;;;;;
Tourcoing jazz festival;;Hauts-de-France;Nord;Tourcoing;59200;59599;200093201;Métropole Européenne de Lille;5;Place;Notre Dame;5 Place Notre Dame;BP50215  /  59334 Tourcoing Cedex;tourcoing-jazz-festival.com;ysubts@tourcoing-jazz-festival.com;De 1980 à 1989;1986;Musique;;Jazz, blues, Musiques du monde;03- Jazz, blues et musiques improvisées;;;;Après-saison (6 septembre - 31 décembre);;FEST_59599_6712;193;;;;;;;;;;;;;;;
Jazz'in Vaux;;Nouvelle-Aquitaine;Charente-Maritime;Vaux-sur-Mer;17640;17461;241700640;CA Royan Atlantique;;;;;;http://www.vaux-sur-mer.com/;mairie@vaux-atlantique.com;De 2000 à 2009;2003;Musique;;Musiques actuelles;03- Jazz, blues et musiques improvisées;;;;Après-saison (6 septembre - 31 décembre);LA105;FEST_17461_6951;1233;;;;;;;;;;;;;;;
Festival À l'Ouest;;Nouvelle-Aquitaine;Vienne;Poitiers;86000;86194;200069854;CU du Grand Poitiers;;;;;;http://lablaiserie.centres-sociaux.fr/;accueil@csclablaiserie-csc86.org;De 2000 à 2009;2008;Spectacle vivant;Arts de la rue;;;;;;Avant-saison (1er janvier - 20 juin);LA363;FEST_86194_5109;;;;;;;;;;;;;;;;
Festival Côté Jardin;;Nouvelle-Aquitaine;Dordogne;Vélines;24230;24568;200034197;CC de Montaigne Montravel et Gurson;;;;;;http://www.mosaiquescotejardin.fr/;cluzeauchristian@wanadoo.fr;De 2000 à 2009;2007;Spectacle vivant;Spectacle vivant pluridisciplinaire;;;;;;Saison (21 juin - 5 septembre);LA151;FEST_24568_6956;;;;;;;;;;;;;;;;
